Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFME;AD;Nîmes Courbessac (30);118.25;197;43.8531;4.41444;
LF;LFTW;AD;Nîmes Garons (30);123.2;309;43.7575;4.41639;
LF;LFBN;AD;Niort Marais Poitevin (79);119.1;201;46.3133;-0.394444;
LF;LFCN;AD;Nogaro (32);119.5;304;43.7689;-0.0347222;
LF;LFCO;AD;Oloron Herrère (64);118.775;984;43.1647;-0.560278;
LF;LFMO;AD;Orange Caritat (84);120.7;197;44.1403;4.86861;
LF;LFOJ;AD;Orléans Bricy (45);122.1;412;47.9878;1.76056;
LF;LFOZ;AD;Orléans Saint Denis de l'Hôtel (45);122.4;396;47.8975;2.16417;
LF;LFEC;AD;Ouessant (29);118.1;142;48.4633;-5.06361;
LF;LFLK;AD;Oyonnax Arbent (01);123.5;1755;46.2786;5.66639;
LF;LFDJ;AD;Pamiers les Pujols (09);118.175;1114;43.0906;1.69583;
LF;LFGN;AD;Paray Le Monial (71);123.5;1003;46.4667;4.13306;
LF;LFPG;AD;Paris Ch de Gaulle (95);119.25;392;49.0097;2.54778;
LF;LFPB;AD;Paris Le Bourget (93);118.925;220;48.9694;2.44139;
LF;LFPO;AD;Paris Orly (94);118.7;291;48.7233;2.37944;
LF;LFBP;AD;Pau Pyrénées (64);124.15;616;43.38;-0.418611;
LF;LFBX;AD;Périgueux Bassillac (24);118.775;328;45.1975;0.815278;
LF;LFAG;AD;Péronne Saint Quentin (80);129.8;295;49.8689;3.02972;
LF;LFHC;AD;Pérouges Meximieux (01);123.5;703;45.8686;5.18611;
LF;LFMP;AD;Perpignan Rivesaltes (66);118.3;144;42.7408;2.86972;
LF;LFPA;AD;Persan Beaumont (95);119.5;149;49.165;2.31167;
LF;LFQP;AD;Phalsbourg Bourscheid (57);129.8;1017;48.7681;7.20528;
LF;LFHD;AD;Pierrelatte (26);118.975;195;44.3978;4.71694;
LF;LFRP;AD;Ploërmel Loyat (56);123.5;237;48.0019;-2.37861;
LF;LFBI;AD;Poitiers Biard (86);118.5;423;46.5875;0.306667;
